Imagen,Valvula_de_expansion,Compresor,Condensador
1,0.00,0.00,0.00
2,0.02,0.12,0.54
3,0.55,0.52,2.75
4,0.83,0.66,3.02
5,0.75,0.48,2.63
6,0.94,0.55,2.49
7,1.02,0.68,2.44
8,0.62,0.27,1.89
9,0.83,0.49,1.95
10,0.91,0.52,1.85
11,1.00,0.63,1.83
12,0.46,0.14,1.21
13,0.74,0.46,1.45
14,0.78,0.50,1.43
15,0.59,0.43,1.23
16,0.70,0.51,1.27
17,0.59,0.51,1.14
18,0.69,0.63,1.19
19,0.67,0.63,1.06
20,0.45,0.48,0.83
21,0.72,0.86,1.07
22,0.56,0.83,0.97
23,0.61,1.00,1.00
24,0.63,1.14,1.02
25,0.65,1.20,0.92
26,0.71,1.38,1.00
27,0.56,1.40,0.91
28,0.58,1.46,0.88
29,0.56,1.57,0.88
30,0.55,1.68,0.86
31,0.59,1.81,0.87
32,0.53,1.84,0.84
33,0.60,2.00,0.92
34,0.51,1.99,0.79
35,0.75,2.31,0.99
36,0.83,2.51,1.11
37,0.35,2.12,0.64
38,0.33,2.21,0.58
39,0.34,2.30,0.60
40,0.44,2.52,0.69
41,0.49,2.71,0.80
42,0.68,2.91,0.94
43,0.58,2.98,0.93
44,0.62,3.06,0.97
45,0.79,3.29,1.13
46,0.91,3.50,1.25
47,0.44,3.10,0.71
48,0.40,3.14,0.69
49,0.56,3.43,0.93
50,0.58,3.51,0.92
51,0.62,3.62,0.96
52,0.57,3.65,0.89
53,0.72,3.86,1.09
54,0.52,3.78,0.89
55,0.62,4.00,1.06
56,0.96,4.35,1.35
57,0.70,4.21,1.07
58,0.69,4.19,0.97
59,0.63,4.21,0.93
60,0.94,4.62,1.17
