Imagen,Valvula_de_expansion,Compresor,Condensador
1,28.39,27.16,27.83
2,28.41,27.27,28.37
3,28.94,27.67,30.58
4,29.22,27.82,30.85
5,29.14,27.64,30.46
6,29.33,27.70,30.33
7,29.41,27.84,30.27
8,29.01,27.43,29.72
9,29.22,27.65,29.78
10,29.30,27.67,29.68
11,29.39,27.79,29.67
12,28.85,27.29,29.04
13,29.14,27.62,29.28
14,29.17,27.65,29.26
15,28.99,27.58,29.06
16,29.09,27.67,29.10
17,28.98,27.67,28.97
18,29.08,27.79,29.02
19,29.06,27.79,28.89
20,28.84,27.63,28.66
21,29.11,28.02,28.90
22,28.96,27.99,28.80
23,29.00,28.16,28.83
24,29.03,28.30,28.85
25,29.05,28.36,28.75
26,29.10,28.54,28.84
27,28.96,28.56,28.74
28,28.97,28.61,28.71
29,28.95,28.73,28.71
30,28.94,28.84,28.70
31,28.98,28.97,28.70
32,28.92,29.00,28.67
33,28.99,29.16,28.75
34,28.90,29.15,28.62
35,29.14,29.47,28.82
36,29.23,29.67,28.94
37,28.75,29.28,28.48
38,28.72,29.37,28.41
39,28.73,29.45,28.44
40,28.83,29.68,28.52
41,28.88,29.86,28.63
42,29.08,30.07,28.78
43,28.97,30.13,28.76
44,29.01,30.22,28.80
45,29.18,30.45,28.96
46,29.31,30.65,29.08
47,28.83,30.25,28.54
48,28.79,30.30,28.52
49,28.95,30.58,28.77
50,28.97,30.66,28.75
51,29.01,30.78,28.79
52,28.96,30.81,28.72
53,29.11,31.02,28.92
54,28.92,30.94,28.72
55,29.02,31.16,28.89
56,29.35,31.50,29.19
57,29.10,31.37,28.90
58,29.09,31.34,28.81
59,29.02,31.37,28.76
60,29.33,31.78,29.01
