Imagen,Valvula_de_expansion,Compresor,Condensador
1,25.69,24.48,25.13
2,25.64,24.38,25.19
3,26.51,24.50,27.15
4,27.10,24.75,27.65
5,27.12,24.79,27.54
6,26.68,24.35,26.87
7,26.59,24.23,26.62
8,26.77,24.46,26.72
9,26.56,24.33,26.40
10,26.69,24.46,26.44
11,26.72,24.53,26.37
12,26.65,24.55,26.32
13,26.28,24.27,25.89
14,26.30,24.35,25.88
15,26.34,24.40,25.86
16,26.24,24.40,25.75
17,26.15,24.27,25.58
18,26.21,24.44,25.68
19,26.21,24.47,25.65
20,26.35,24.69,25.79
21,26.11,24.61,25.62
22,26.17,24.72,25.73
23,26.20,24.87,25.72
24,26.18,24.99,25.75
25,26.28,25.23,25.86
26,26.05,24.95,25.50
27,26.02,25.02,25.46
28,25.97,25.09,25.46
29,26.02,25.25,25.48
30,26.12,25.43,25.59
31,25.74,25.21,25.24
32,25.60,25.16,25.06
33,25.67,25.38,25.19
34,25.81,25.57,25.30
35,25.73,25.68,25.31
36,25.85,25.82,25.40
37,25.94,26.02,25.49
38,25.98,26.13,25.54
39,26.06,26.34,25.62
40,26.11,26.49,25.70
41,25.85,26.36,25.52
42,25.98,26.52,25.61
43,25.88,26.54,25.52
44,26.01,26.79,25.64
45,25.89,26.77,25.55
46,25.70,26.72,25.40
47,25.91,26.92,25.56
48,25.86,26.92,25.48
49,26.04,27.20,25.74
50,25.98,27.21,25.63
51,26.07,27.43,25.82
52,26.05,27.44,25.71
53,26.35,27.85,26.07
54,26.23,27.84,25.91
55,26.17,27.84,25.88
56,26.40,28.05,26.05
57,26.57,28.26,26.23
58,25.91,27.68,25.56
59,26.17,28.09,25.89
60,25.95,27.88,25.61
