Imagen,Valvula_de_expansion,Compresor,Condensador
1,28.03,26.37,27.02
2,27.91,26.22,28.47
3,28.04,26.24,28.75
4,27.56,26.21,28.62
5,26.47,26.30,28.75
6,25.88,26.38,28.82
7,25.71,26.40,28.88
8,25.52,26.41,28.71
9,25.11,26.09,28.34
10,25.09,26.29,28.46
11,25.32,26.73,28.79
12,25.36,27.07,28.99
13,25.08,27.15,28.83
14,25.06,27.45,28.95
15,25.15,27.96,29.24
16,25.07,28.28,29.27
17,24.86,28.45,29.17
18,24.89,28.80,29.28
19,24.74,28.99,29.20
20,24.73,29.28,29.24
21,24.78,29.62,29.43
22,24.87,30.15,29.67
23,25.07,30.67,29.88
24,25.01,30.93,29.93
25,24.94,31.22,30.02
26,25.24,31.76,30.32
27,24.71,31.67,29.96
28,24.75,31.90,29.93
29,24.94,32.34,30.12
30,24.85,32.61,30.16
31,24.82,32.78,30.09
32,24.90,33.16,30.22
33,25.07,33.52,30.41
34,25.18,33.78,30.52
35,25.33,34.13,30.72
36,25.35,34.42,30.81
37,25.08,34.23,30.48
38,25.14,34.47,30.58
39,25.08,34.56,30.53
40,25.06,34.81,30.64
41,25.07,34.99,30.61
42,25.10,35.27,30.69
43,25.04,35.46,30.65
44,25.18,35.74,30.82
45,25.22,35.89,31.05
46,25.41,36.18,31.15
47,25.41,36.24,31.15
48,25.30,36.24,31.08
49,25.35,36.39,31.10
50,25.33,36.46,31.11
51,25.34,36.59,31.31
52,25.19,36.59,31.22
53,25.52,36.77,31.47
54,25.53,36.81,31.47
55,25.49,36.86,31.66
56,25.42,36.88,31.65
57,25.40,36.96,31.77
58,25.54,37.04,31.64
59,25.59,37.04,31.58
60,25.52,37.00,31.59
