Carpeta,Imagen,Valvula_de_expansion,Compresor,Condensador
HIGH FAULT,1,0.0,0.0,0.0
HIGH FAULT,2,0.02,0.12,0.54
HIGH FAULT,3,0.55,0.52,2.75
HIGH FAULT,4,0.83,0.66,3.02
HIGH FAULT,5,0.75,0.48,2.63
HIGH FAULT,6,0.94,0.55,2.49
HIGH FAULT,7,1.02,0.68,2.44
HIGH FAULT,8,0.62,0.27,1.89
HIGH FAULT,9,0.83,0.49,1.95
HIGH FAULT,10,0.91,0.52,1.85
HIGH FAULT,11,1.0,0.63,1.83
HIGH FAULT,12,0.46,0.14,1.21
HIGH FAULT,13,0.74,0.46,1.45
HIGH FAULT,14,0.78,0.5,1.43
HIGH FAULT,15,0.59,0.43,1.23
HIGH FAULT,16,0.7,0.51,1.27
HIGH FAULT,17,0.59,0.51,1.14
HIGH FAULT,18,0.69,0.63,1.19
HIGH FAULT,19,0.67,0.63,1.06
HIGH FAULT,20,0.45,0.48,0.83
HIGH FAULT,21,0.72,0.86,1.07
HIGH FAULT,22,0.56,0.83,0.97
HIGH FAULT,23,0.61,1.0,1.0
HIGH FAULT,24,0.63,1.14,1.02
HIGH FAULT,25,0.65,1.2,0.92
HIGH FAULT,26,0.71,1.38,1.0
HIGH FAULT,27,0.56,1.4,0.91
HIGH FAULT,28,0.58,1.46,0.88
HIGH FAULT,29,0.56,1.57,0.88
HIGH FAULT,30,0.55,1.68,0.86
HIGH FAULT,31,0.59,1.81,0.87
HIGH FAULT,32,0.53,1.84,0.84
HIGH FAULT,33,0.6,2.0,0.92
HIGH FAULT,34,0.51,1.99,0.79
HIGH FAULT,35,0.75,2.31,0.99
HIGH FAULT,36,0.83,2.51,1.11
HIGH FAULT,37,0.35,2.12,0.64
HIGH FAULT,38,0.33,2.21,0.58
HIGH FAULT,39,0.34,2.3,0.6
HIGH FAULT,40,0.44,2.52,0.69
HIGH FAULT,41,0.49,2.71,0.8
HIGH FAULT,42,0.68,2.91,0.94
HIGH FAULT,43,0.58,2.98,0.93
HIGH FAULT,44,0.62,3.06,0.97
HIGH FAULT,45,0.79,3.29,1.13
HIGH FAULT,46,0.91,3.5,1.25
HIGH FAULT,47,0.44,3.1,0.71
HIGH FAULT,48,0.4,3.14,0.69
HIGH FAULT,49,0.56,3.43,0.93
HIGH FAULT,50,0.58,3.51,0.92
HIGH FAULT,51,0.62,3.62,0.96
HIGH FAULT,52,0.57,3.65,0.89
HIGH FAULT,53,0.72,3.86,1.09
HIGH FAULT,54,0.52,3.78,0.89
HIGH FAULT,55,0.62,4.0,1.06
HIGH FAULT,56,0.96,4.35,1.35
HIGH FAULT,57,0.7,4.21,1.07
HIGH FAULT,58,0.69,4.19,0.97
HIGH FAULT,59,0.63,4.21,0.93
HIGH FAULT,60,0.94,4.62,1.17
LOW FAULT,1,0.0,0.0,0.0
LOW FAULT,2,-0.05,-0.1,0.06
LOW FAULT,3,0.82,0.01,2.02
LOW FAULT,4,1.41,0.27,2.52
LOW FAULT,5,1.44,0.31,2.4
LOW FAULT,6,0.99,-0.13,1.74
LOW FAULT,7,0.9,-0.25,1.48
LOW FAULT,8,1.09,-0.02,1.59
LOW FAULT,9,0.87,-0.15,1.26
LOW FAULT,10,1.0,-0.02,1.31
LOW FAULT,11,1.03,0.05,1.23
LOW FAULT,12,0.96,0.07,1.18
LOW FAULT,13,0.6,-0.21,0.75
LOW FAULT,14,0.62,-0.13,0.74
LOW FAULT,15,0.65,-0.08,0.72
LOW FAULT,16,0.56,-0.08,0.61
LOW FAULT,17,0.46,-0.21,0.45
LOW FAULT,18,0.53,-0.04,0.55
LOW FAULT,19,0.52,-0.01,0.52
LOW FAULT,20,0.66,0.2,0.65
LOW FAULT,21,0.42,0.13,0.49
LOW FAULT,22,0.48,0.23,0.59
LOW FAULT,23,0.51,0.39,0.59
LOW FAULT,24,0.5,0.51,0.62
LOW FAULT,25,0.59,0.75,0.72
LOW FAULT,26,0.37,0.47,0.37
