Carpeta,Imagen,Valvula_de_expansion,Compresor,Condensador
FALLA ALTA,1,0.00,0.00,0.00
FALLA ALTA,2,0.02,0.12,0.54
FALLA ALTA,3,0.55,0.52,2.75
FALLA ALTA,4,0.83,0.66,3.02
FALLA ALTA,5,0.75,0.48,2.63
FALLA ALTA,6,0.94,0.55,2.49
FALLA ALTA,7,1.02,0.68,2.44
FALLA ALTA,8,0.62,0.27,1.89
FALLA ALTA,9,0.83,0.49,1.95
FALLA ALTA,10,0.91,0.52,1.85
FALLA ALTA,11,1.00,0.63,1.83
FALLA ALTA,12,0.46,0.14,1.21
FALLA ALTA,13,0.74,0.46,1.45
FALLA ALTA,14,0.78,0.50,1.43
FALLA ALTA,15,0.59,0.43,1.23
FALLA ALTA,16,0.70,0.51,1.27
FALLA ALTA,17,0.59,0.51,1.14
FALLA ALTA,18,0.69,0.63,1.19
FALLA ALTA,19,0.67,0.63,1.06
FALLA ALTA,20,0.45,0.48,0.83
FALLA ALTA,21,0.72,0.86,1.07
FALLA ALTA,22,0.56,0.83,0.97
FALLA ALTA,23,0.61,1.00,1.00
FALLA ALTA,24,0.63,1.14,1.02
FALLA ALTA,25,0.65,1.20,0.92
FALLA ALTA,26,0.71,1.38,1.00
FALLA ALTA,27,0.56,1.40,0.91
FALLA ALTA,28,0.58,1.46,0.88
FALLA ALTA,29,0.56,1.57,0.88
FALLA ALTA,30,0.55,1.68,0.86
FALLA ALTA,31,0.59,1.81,0.87
FALLA ALTA,32,0.53,1.84,0.84
FALLA ALTA,33,0.60,2.00,0.92
FALLA ALTA,34,0.51,1.99,0.79
FALLA ALTA,35,0.75,2.31,0.99
FALLA ALTA,36,0.83,2.51,1.11
FALLA ALTA,37,0.35,2.12,0.64
FALLA ALTA,38,0.33,2.21,0.58
FALLA ALTA,39,0.34,2.30,0.60
FALLA ALTA,40,0.44,2.52,0.69
FALLA ALTA,41,0.49,2.71,0.80
FALLA ALTA,42,0.68,2.91,0.94
