Carpeta,Imagen,Valvula_de_expansion,Compresor,Condensador
FALLA ALTA,1,0.0,0.0,0.0
FALLA ALTA,2,0.02,0.12,0.54
FALLA ALTA,3,0.55,0.52,2.75
FALLA ALTA,4,0.83,0.66,3.02
FALLA ALTA,5,0.75,0.48,2.63
FALLA ALTA,6,0.94,0.55,2.49
FALLA ALTA,7,1.02,0.68,2.44
FALLA ALTA,8,0.62,0.27,1.89
FALLA ALTA,9,0.83,0.49,1.95
FALLA ALTA,10,0.91,0.52,1.85
FALLA ALTA,11,1.0,0.63,1.83
FALLA ALTA,12,0.46,0.14,1.21
FALLA ALTA,13,0.74,0.46,1.45
FALLA ALTA,14,0.78,0.5,1.43
FALLA ALTA,15,0.59,0.43,1.23
FALLA ALTA,16,0.7,0.51,1.27
FALLA ALTA,17,0.59,0.51,1.14
FALLA ALTA,18,0.69,0.63,1.19
FALLA ALTA,19,0.67,0.63,1.06
FALLA ALTA,20,0.45,0.48,0.83
FALLA ALTA,21,0.72,0.86,1.07
FALLA ALTA,22,0.56,0.83,0.97
FALLA ALTA,23,0.61,1.0,1.0
FALLA ALTA,24,0.63,1.14,1.02
FALLA ALTA,25,0.65,1.2,0.92
FALLA ALTA,26,0.71,1.38,1.0
FALLA ALTA,27,0.56,1.4,0.91
FALLA ALTA,28,0.58,1.46,0.88
FALLA ALTA,29,0.56,1.57,0.88
FALLA ALTA,30,0.55,1.68,0.86
FALLA ALTA,31,0.59,1.81,0.87
FALLA ALTA,32,0.53,1.84,0.84
FALLA ALTA,33,0.6,2.0,0.92
FALLA ALTA,34,0.51,1.99,0.79
FALLA ALTA,35,0.75,2.31,0.99
FALLA ALTA,36,0.83,2.51,1.11
FALLA ALTA,37,0.35,2.12,0.64
FALLA ALTA,38,0.33,2.21,0.58
FALLA ALTA,39,0.34,2.3,0.6
FALLA ALTA,40,0.44,2.52,0.69
FALLA ALTA,41,0.49,2.71,0.8
FALLA ALTA,42,0.68,2.91,0.94
FALLA ALTA,43,0.58,2.98,0.93
FALLA ALTA,44,0.62,3.06,0.97
FALLA ALTA,45,0.79,3.29,1.13
FALLA ALTA,46,0.91,3.5,1.25
FALLA ALTA,47,0.44,3.1,0.71
FALLA ALTA,48,0.4,3.14,0.69
FALLA ALTA,49,0.56,3.43,0.93
FALLA ALTA,50,0.58,3.51,0.92
FALLA ALTA,51,0.62,3.62,0.96
FALLA ALTA,52,0.57,3.65,0.89
FALLA ALTA,53,0.72,3.86,1.09
FALLA ALTA,54,0.52,3.78,0.89
FALLA ALTA,55,0.62,4.0,1.06
FALLA ALTA,56,0.96,4.35,1.35
FALLA ALTA,57,0.7,4.21,1.07
FALLA ALTA,58,0.69,4.19,0.97
FALLA ALTA,59,0.63,4.21,0.93
FALLA ALTA,60,0.94,4.62,1.17
FALLA BAJA,1,0.0,0.0,0.0
FALLA BAJA,2,-0.05,-0.1,0.06
FALLA BAJA,3,0.82,0.01,2.02
FALLA BAJA,4,1.41,0.27,2.52
FALLA BAJA,5,1.44,0.31,2.4
FALLA BAJA,6,0.99,-0.13,1.74
FALLA BAJA,7,0.9,-0.25,1.48
FALLA BAJA,8,1.09,-0.02,1.59
FALLA BAJA,9,0.87,-0.15,1.26
FALLA BAJA,10,1.0,-0.02,1.31
FALLA BAJA,11,1.03,0.05,1.23
FALLA BAJA,12,0.96,0.07,1.18
FALLA BAJA,13,0.6,-0.21,0.75
FALLA BAJA,14,0.62,-0.13,0.74
FALLA BAJA,15,0.65,-0.08,0.72
FALLA BAJA,16,0.56,-0.08,0.61
FALLA BAJA,17,0.46,-0.21,0.45
FALLA BAJA,18,0.53,-0.04,0.55
FALLA BAJA,19,0.52,-0.01,0.52
FALLA BAJA,20,0.66,0.2,0.65
FALLA BAJA,21,0.42,0.13,0.49
FALLA BAJA,22,0.48,0.23,0.59
FALLA BAJA,23,0.51,0.39,0.59
FALLA BAJA,24,0.5,0.51,0.62
FALLA BAJA,25,0.59,0.75,0.72
FALLA BAJA,26,0.37,0.47,0.37
FALLA BAJA,27,0.33,0.54,0.32
FALLA BAJA,28,0.29,0.61,0.33
FALLA BAJA,29,0.34,0.77,0.35
FALLA BAJA,30,0.44,0.94,0.46
FALLA BAJA,31,0.05,0.73,0.11
FALLA BAJA,32,-0.08,0.68,-0.07
FALLA BAJA,33,-0.02,0.89,0.06
FALLA BAJA,34,0.12,1.09,0.17
FALLA BAJA,35,0.05,1.19,0.17
FALLA BAJA,36,0.17,1.34,0.27
FALLA BAJA,37,0.26,1.54,0.35
FALLA BAJA,38,0.3,1.65,0.4
FALLA BAJA,39,0.38,1.86,0.49
FALLA BAJA,40,0.42,2.01,0.57
FALLA BAJA,41,0.16,1.88,0.38
FALLA BAJA,42,0.29,2.04,0.48
FALLA BAJA,43,0.19,2.06,0.38
FALLA BAJA,44,0.33,2.31,0.51
FALLA BAJA,45,0.21,2.29,0.41
FALLA BAJA,46,0.01,2.24,0.27
FALLA BAJA,47,0.23,2.44,0.42
FALLA BAJA,48,0.17,2.44,0.35
FALLA BAJA,49,0.35,2.72,0.6
FALLA BAJA,50,0.29,2.73,0.5
FALLA BAJA,51,0.38,2.95,0.68
FALLA BAJA,52,0.37,2.96,0.57
FALLA BAJA,53,0.67,3.37,0.94
FALLA BAJA,54,0.55,3.35,0.78
FALLA BAJA,55,0.48,3.36,0.74
FALLA BAJA,56,0.72,3.57,0.91
FALLA BAJA,57,0.88,3.78,1.09
FALLA BAJA,58,0.22,3.2,0.42
FALLA BAJA,59,0.49,3.6,0.76
FALLA BAJA,60,0.27,3.4,0.48
SANO,1,0.0,0.0,0.0
SANO,2,-0.12,-0.15,1.45
SANO,3,0.0,-0.12,1.73
SANO,4,-0.47,-0.15,1.6
SANO,5,-1.56,-0.07,1.73
SANO,6,-2.15,0.01,1.8
SANO,7,-2.32,0.03,1.86
SANO,8,-2.51,0.04,1.69
SANO,9,-2.92,-0.27,1.32
SANO,10,-2.94,-0.08,1.44
SANO,11,-2.71,0.37,1.77
SANO,12,-2.67,0.7,1.97
SANO,13,-2.95,0.78,1.81
SANO,14,-2.97,1.08,1.93
SANO,15,-2.88,1.59,2.22
SANO,16,-2.96,1.91,2.25
SANO,17,-3.17,2.08,2.15
SANO,18,-3.14,2.43,2.26
SANO,19,-3.29,2.63,2.18
SANO,20,-3.3,2.92,2.22
SANO,21,-3.25,3.26,2.41
SANO,22,-3.16,3.79,2.65
SANO,23,-2.96,4.31,2.86
SANO,24,-3.02,4.57,2.91
SANO,25,-3.09,4.86,3.0
SANO,26,-2.79,5.39,3.3
SANO,27,-3.32,5.31,2.94
SANO,28,-3.28,5.53,2.91
SANO,29,-3.09,5.98,3.1
SANO,30,-3.18,6.25,3.14
SANO,31,-3.21,6.42,3.07
SANO,32,-3.13,6.8,3.2
SANO,33,-2.96,7.15,3.39
SANO,34,-2.85,7.42,3.5
SANO,35,-2.7,7.76,3.7
SANO,36,-2.68,8.06,3.79
SANO,37,-2.95,7.87,3.46
SANO,38,-2.89,8.11,3.56
SANO,39,-2.95,8.19,3.51
SANO,40,-2.97,8.44,3.62
SANO,41,-2.96,8.62,3.59
SANO,42,-2.93,8.9,3.67
SANO,43,-3.0,9.1,3.64
SANO,44,-2.86,9.37,3.8
SANO,45,-2.81,9.53,4.03
SANO,46,-2.62,9.81,4.13
SANO,47,-2.62,9.87,4.14
SANO,48,-2.73,9.87,4.06
SANO,49,-2.68,10.02,4.08
SANO,50,-2.7,10.1,4.09
SANO,51,-2.69,10.22,4.29
SANO,52,-2.84,10.22,4.2
SANO,53,-2.51,10.4,4.45
SANO,54,-2.5,10.44,4.45
SANO,55,-2.54,10.49,4.64
SANO,56,-2.61,10.52,4.63
SANO,57,-2.63,10.59,4.75
SANO,58,-2.49,10.67,4.62
SANO,59,-2.44,10.67,4.56
SANO,60,-2.51,10.64,4.57
FALLA ALTA,39_b1,0.34044598292963024,2.3103315560143844,0.5980453241175641
FALLA ALTA,52_b1,0.5709281703258886,3.6370837717789755,0.8891321076555049
FALLA ALTA,29_b1,0.5584921907615082,1.5707654989954218,0.8764358336216755
FALLA ALTA,15_b1,0.5908774470527627,0.44969157493876144,1.2300527886727353
FALLA ALTA,43_b1,0.5799435607476999,2.9794075330071483,0.9225812645850412
FALLA ALTA,8_b1,0.61591876984713,0.27226692638934147,1.8829419225065684
FALLA ALTA,21_b1,0.7195835204645731,0.8676391868898503,1.0679808428243314
FALLA ALTA,39_b1,0.3422614920019657,2.3041644764694738,0.5961872983203411
FALLA ALTA,58_b1,0.6893719117960422,4.191583241216848,0.9785521323382487
FALLA ALTA,19_b1,0.6726081537252306,0.6212067313641103,1.0706771489394777
FALLA ALTA,23_b1,0.6126548198443581,0.9950190589835693,0.9907002975454946
FALLA ALTA,11_b1,1.0018031023361613,0.6181214238266436,1.8286742897849788
FALLA ALTA,11_b1,1.0021071839688882,0.6231735398446213,1.8266536611669049
FALLA ALTA,24_b1,0.630023731547066,1.1405121329710786,1.0283136524686063
FALLA ALTA,53_b1,0.7175678031881503,3.8641804401585187,1.091940569119579
FALLA ALTA,36_b1,0.830891105986708,2.5182198594496863,1.11017458185753
FALLA ALTA,40_b1,0.44472680774681844,2.5417059109995916,0.6938401218479252
FALLA ALTA,24_b1,0.6263076508376684,1.165491572564734,1.0104499822465325
FALLA ALTA,3_b1,0.5498220344346836,0.532867525588012,2.746541404939491
FALLA ALTA,22_b1,0.5644632848144142,0.8316198556569564,0.9749270630796486
FALLA ALTA,53_b1,0.721607622443181,3.8633454302796895,1.0917356341851177
FALLA ALTA,2_b1,0.01775539507382257,0.09827916914048404,0.5382373592981871
FALLA ALTA,24_b1,0.6303736297822323,1.1326416705580007,1.0178778866916391
FALLA ALTA,44_b1,0.6185658655885419,3.0683376995105918,0.972064837545209
FALLA ALTA,30_b1,0.5483540444543532,1.680093233917782,0.8499754441351155
FALLA ALTA,38_b1,0.3285541972731599,2.220213750294023,0.5822090468894016
FALLA ALTA,2_b1,0.019770423852020536,0.13762494206596979,0.5388904157871813
FALLA ALTA,60_b1,0.9386364652911168,4.619349109159124,1.168237582090043
FALLA ALTA,21_b1,0.7215955567296585,0.8627902431372698,1.0684297275499286
FALLA ALTA,33_b1,0.5997587798469335,2.016090403608958,0.9233551833669734
FALLA ALTA,12_b1,0.46005817476504246,0.13924224598210938,1.2111832193339518
FALLA ALTA,58_b1,0.6924045066961547,4.191821144309195,0.9727991791483033
FALLA ALTA,22_b1,0.5588829790946649,0.8424250418835768,0.9715491488685328
FALLA ALTA,44_b1,0.6189162211317453,3.032071615187747,0.9661564002378559
FALLA ALTA,25_b1,0.6502316665339174,1.1953755888388315,0.9177500097521389
FALLA ALTA,49_b1,0.5596180738694235,3.4101010520680632,0.9378212812657755
FALLA ALTA,27_b1,0.5628110976197843,1.4116346430061353,0.9121622441808411
FALLA ALTA,59_b1,0.6315832307749707,4.216860438832093,0.9349971063418928
FALLA ALTA,42_b1,0.681071780683835,2.9181597710224665,0.9460691902283898
FALLA ALTA,28_b1,0.5787723110529861,1.4380753001354534,0.8825279226756281
FALLA ALTA,60_b1,0.9425579956916363,4.617116073109207,1.168092222534309
FALLA ALTA,16_b1,0.7024157146070555,0.48725553322964504,1.2822911506287875
FALLA ALTA,15_b1,0.5881554460421174,0.44212904863437463,1.224723447825728
FALLA ALTA,47_b1,0.44301717050144507,3.091729092849733,0.7096390910910623
FALLA ALTA,51_b1,0.6199114992607943,3.6285237524862786,0.9594778449989827
FALLA ALTA,44_b1,0.6198814947982652,3.0707504517172737,0.9566424521780204
FALLA ALTA,55_b1,0.6195788112479522,4.005007688512045,1.048891678843149
FALLA ALTA,52_b1,0.5731738673146045,3.6625152371659553,0.8817078800275767
FALLA ALTA,57_b1,0.7004407221937797,4.174208436729744,1.0645651233088835
FALLA ALTA,3_b1,0.5504044715898021,0.5180487927659517,2.7511414964259147
FALLA ALTA,37_b1,0.3492284648704622,2.1220155432299546,0.6480171457927663
FALLA ALTA,51_b1,0.6203057879194499,3.6104617618745247,0.9584108275944306
FALLA ALTA,7_b1,1.0170031481015565,0.6703249909958037,2.444499580447366
FALLA ALTA,21_b1,0.7192265809825458,0.8586183018655424,1.0717625298332094
FALLA ALTA,9_b1,0.8313020997748062,0.49181347217114946,1.9537326530719679
FALLA ALTA,39_b1,0.3376764581336597,2.3233445424690173,0.5999507082882204
FALLA ALTA,18_b1,0.689977565205278,0.6192026147678413,1.189899834980851
FALLA ALTA,4_b1,0.8284529560801858,0.6873390601767085,3.0183282839048275
FALLA ALTA,25_b1,0.6507973205045965,1.208157061771068,0.9245789134102572
FALLA ALTA,60_b1,0.9379778193686421,4.590323753628769,1.1775377366012836
FALLA ALTA,5_b2,0.7468212068235016,0.5044833496280434,2.6241591410929117
FALLA ALTA,1_b2,-0.0015194114461696295,0.01503733929461608,0.005859878916020371
FALLA ALTA,50_b2,0.5805855950881894,3.5044379547611766,0.928781411016331
FALLA ALTA,22_b2,0.5603951347065386,0.8242171368998084,0.9736372705753301
FALLA ALTA,59_b2,0.628730093483177,4.23594576548686,0.9264674869814878
FALLA ALTA,17_b2,0.5910900155823757,0.5026771998168494,1.1408211874490932
FALLA ALTA,52_b2,0.5655259632388153,3.656523767958561,0.8973734777619846
FALLA ALTA,18_b2,0.6901127183567243,0.6255863800686038,1.1980871683182368
FALLA ALTA,60_b2,0.941669062076016,4.613246182754311,1.1606291840594811
FALLA ALTA,28_b2,0.5780343070820416,1.4658184617970333,0.8836541741337484
FALLA ALTA,3_b2,0.5519915289317523,0.5228824900719956,2.7546964358334516
FALLA ALTA,47_b2,0.440209065139137,3.1194302670895175,0.7122525643901279
FALLA ALTA,31_b2,0.5853604585486685,1.8132464059529758,0.8710994561237512
FALLA ALTA,24_b2,0.632041615056298,1.131301204810915,1.0356438982051979
FALLA ALTA,1_b2,-0.004150932909857227,-0.0030623998415090707,0.00881447128696157
FALLA ALTA,36_b2,0.8273107623103685,2.5225675827971807,1.1121318556087862
FALLA ALTA,51_b2,0.6216847002261287,3.61274221434818,0.9504216724865581
FALLA ALTA,60_b2,0.9431108405393094,4.593263039170983,1.1669299475119108
FALLA ALTA,12_b2,0.4613185770306388,0.1340301360380314,1.2096164694965816
FALLA ALTA,26_b2,0.7124095379958423,1.3988057933557978,1.0024792366976352
FALLA ALTA,2_b2,0.01801488935072721,0.11997303597613262,0.5410973874211442
FALLA ALTA,48_b2,0.3982577146687209,3.1115872781884346,0.6937291735907697
FALLA ALTA,35_b2,0.7492028872656721,2.3128720354839056,0.9923814548432096
FALLA ALTA,12_b2,0.46048290678372594,0.12193629965835234,1.2070098655748616
FALLA ALTA,3_b2,0.5503679496547524,0.5072582994041474,2.7533716604292207
FALLA ALTA,36_b2,0.8291619340304954,2.5179425065049696,1.1181523062706304
FALLA ALTA,54_b2,0.521997437367986,3.7862600045136667,0.8960881588963894
FALLA ALTA,5_b2,0.7488265590841673,0.5206051667364339,2.6312009184354417
FALLA ALTA,37_b2,0.3499093529758394,2.1080999027743403,0.6474699380545152
FALLA ALTA,49_b2,0.5588019530399725,3.4211543695419344,0.9196226946597339
